,Models,ModelName,Train,hex_Ef,spl_Ef,tet_Ef,vac_Ef
225,MTP,348-13,IntEnh,-1.629207473970942,-1.695760079800398,-1.0131700155921792,-1.123486926821535
226,MTP,33-13,IntEnh,-1.9709372230482776,-1.6779520225382656,-1.004103642368302,-1.0135780046044216
227,MTP,39-13,IntEnh,-1.879984672443194,-1.7262232348790882,-0.980516832327115,-1.0284933483852383
228,MTP,162-12,IntEnh,-1.4810160480473655,-1.5078365396919031,-1.137884261839187,-2.318593616743957
229,MTP,87-12,VacEnh,-0.030330332119454,-1.7284723093256324,0.3213505023066541,-2.9383972771794986
230,MTP,90-11,VacEnh,0.1236730664730268,-1.7402420023954053,0.3194058325343769,-2.277370973594352
231,MTP,339-12,VacEnh,-0.0667561179735317,-0.2882368844748118,0.4307269002204888,-2.480542184988768
232,MTP,123-13,VacEnh,0.0499173755962282,-0.0126546648685648,0.6095388590429572,-3.0358625504168746
233,MTP,207-11,VacEnh,-0.0850914972165434,-0.1209569323336566,0.4716236303496685,-2.975066779313934
234,SNAP,9-3,Int4,-0.5241574878644816,-0.1117637392161639,0.4601435719718241,1.021608810595194
235,SNAP,20-15,Int4,0.1694774862690346,-0.0912641802504342,-0.2407967373455842,0.86023604518943
236,SNAP,15-21,Int4,-0.2523047377959762,-0.1024166887492957,0.1032756071807028,0.9785301518863032
237,SNAP,20-2,Int4,0.1672989536004283,-0.095363775710063,-0.2438555793292915,0.8624365522467375
238,SNAP,20-13,Int4,0.1904419489427327,-0.0523470300368655,-0.2114736071183826,0.8382525158313188
239,SNAP,14-10,Int4,-0.3956926786877146,-0.2541504231116226,0.1252439785736704,1.0248804460716117
240,SNAP,24-31,Int4,0.5382923129714905,0.5622936322606039,0.1838702846373518,0.5432362565082646
241,SNAP,15-31,Int4,-0.1330247128954512,0.0284943732506403,0.1805471092946712,0.8631277583089614
242,SNAP,14-33,Int4,-0.351470427507717,-0.2013753101726465,0.1501249702419561,0.9992310304671376
243,SNAP,26-34,Int4,1.1298758943337883,0.2369836936430289,0.823321519321924,-0.9023556708039496
244,SNAP,10-25,Int4,-0.1691984547000653,0.1022392409139947,0.4479970344655151,0.9142848035556111
245,SNAP,20-12,Int4,0.166814411144819,-0.0962769685710782,-0.244536207452938,0.8629240100512788
246,SNAP,19-28,Int4,0.1666613364373326,-0.1003752544866367,-0.3173452944731118,0.8936139913704425
247,SNAP,15-19,Int4,-0.1878306727401212,-0.0260011841171812,0.1458729592093818,0.9307813387230824
248,SNAP,28-9,Int4,0.8447454258047253,1.0308002905947162,0.8502181321484674,0.2486052372740282
249,SNAP,19-13,Int4,0.1831284312731569,-0.0695840814674864,-0.2935209824515346,0.8767367483385856
250,SNAP,15-5,Int4,-0.2645322734817436,-0.1174030085416606,0.0952164432227601,0.9862121708286644
251,SNAP,15-26,Int4,-0.2235994310298709,-0.0677450594370558,0.1222495074789662,0.959072191614398
252,SNAP,19-9,Int4,0.1631061599412342,-0.1071135375591677,-0.3225139285972266,0.8971414020842078
253,SNAP,10-19,Int4,-0.2055698065365293,0.0736105237162797,0.4300793230850205,0.9528376057349176
254,SNAP,20-17,Int4,0.1670224285639228,-0.0958848675123185,-0.2442439962137705,0.8627148282577152
